EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 14-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : cloud cover in oktas
23-27 Q_CC : Quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121039)
See file sources.txt for more info.



 SOUID,    DATE,   CC, Q_CC
121039,19580129,    0,    0
121039,19580130,    3,    0
121039,19580131,    4,    0
121039,19580201,    8,    0
121039,19580202,    7,    0
121039,19580203,    5,    0
121039,19580204,    8,    0
121039,19580205,    8,    0
121039,19580206,    8,    0
121039,19580207,    7,    0
121039,19580208,    8,    0
121039,19580209,    4,    0
121039,19580210,    6,    0
121039,19580211,    5,    0
121039,19580212,    7,    0
121039,19580213,    7,    0
121039,19580214,    7,    0
121039,19580215,    7,    0
121039,19580216,    7,    0
121039,19580217,    6,    0
121039,19580218,    6,    0
121039,19580219,    8,    0
121039,19580220,    8,    0
121039,19580221,    8,    0
121039,19580222,    5,    0
121039,19580223,    8,    0
121039,19580224,    8,    0
121039,19580225,    8,    0
121039,19580226,    7,    0
121039,19580227,    5,    0
121039,19580228,    3,    0
121039,19580301,    0,    0
121039,19580302,    8,    0
121039,19580303,    8,    0
121039,19580304,    7,    0
121039,19580305,    8,    0
121039,19580306,    7,    0
121039,19580307,    8,    0
121039,19580308,    8,    0
121039,19580309,    7,    0
121039,19580310,    5,    0
121039,19580311,    3,    0
121039,19580312,    5,    0
121039,19580313,    8,    0
121039,19580314,    3,    0
121039,19580315,    2,    0
121039,19580316,    3,    0
121039,19580317,    0,    0
121039,19580318,    4,    0
121039,19580319,    7,    0
121039,19580320,    6,    0
121039,19580321,    6,    0
121039,19580322,    2,    0
121039,19580323,    0,    0
121039,19580324,    4,    0
121039,19580325,    7,    0
121039,19580326,    7,    0
121039,19580327,    7,    0
121039,19580328,    7,    0
121039,19580329,    5,    0
121039,19580330,    2,    0
121039,19580331,    6,    0
121039,19580401,    0,    0
121039,19580402,    4,    0
121039,19580403,    6,    0
121039,19580404,    5,    0
121039,19580405,    7,    0
121039,19580406,    8,    0
121039,19580407,    8,    0
121039,19580408,    7,    0
121039,19580409,    6,    0
121039,19580410,    4,    0
121039,19580411,    4,    0
121039,19580412,    2,    0
121039,19580413,    0,    0
121039,19580414,    0,    0
121039,19580415,    8,    0
121039,19580416,    7,    0
121039,19580417,    5,    0
121039,19580418,    8,    0
121039,19580419,    8,    0
121039,19580420,    4,    0
121039,19580421,    3,    0
121039,19580422,    4,    0
121039,19580423,    2,    0
121039,19580424,    1,    0
121039,19580425,    7,    0
121039,19580426,    8,    0
121039,19580427,    7,    0
121039,19580428,    5,    0
121039,19580429,    4,    0
121039,19580430,    1,    0
121039,19580501,    0,    0
121039,19580502,    1,    0
121039,19580503,    7,    0
121039,19580504,    0,    0
121039,19580505,    8,    0
121039,19580506,    8,    0
121039,19580507,    6,    0
121039,19580508,    7,    0
121039,19580509,    7,    0
121039,19580510,    7,    0
121039,19580511,    8,    0
121039,19580512,    6,    0
121039,19580513,    6,    0
121039,19580514,    8,    0
121039,19580515,    8,    0
121039,19580516,    8,    0
121039,19580517,    6,    0
121039,19580518,    8,    0
121039,19580519,    5,    0
121039,19580520,    4,    0
121039,19580521,    6,    0
121039,19580522,    4,    0
121039,19580523,    3,    0
121039,19580524,    8,    0
121039,19580525,    7,    0
121039,19580526,    3,    0
121039,19580527,    7,    0
121039,19580528,    5,    0
121039,19580529,    2,    0
121039,19580530,    5,    0
121039,19580531,    3,    0
121039,19580601,    3,    0
121039,19580602,    4,    0
121039,19580603,    7,    0
121039,19580604,    8,    0
121039,19580605,    5,    0
121039,19580606,    3,    0
121039,19580607,    7,    0
121039,19580608,    6,    0
121039,19580609,    7,    0
121039,19580610,    4,    0
121039,19580611,    5,    0
121039,19580612,    7,    0
121039,19580613,    4,    0
121039,19580614,    3,    0
121039,19580615,    1,    0
121039,19580616,    1,    0
121039,19580617,    5,    0
121039,19580618,    6,    0
121039,19580619,    6,    0
121039,19580620,    8,    0
121039,19580621,    7,    0
121039,19580622,    6,    0
121039,19580623,    5,    0
121039,19580624,    8,    0
121039,19580625,    6,    0
121039,19580626,    8,    0
121039,19580627,    8,    0
121039,19580628,    7,    0
121039,19580629,    6,    0
121039,19580630,    2,    0
121039,19580701,    3,    0
121039,19580702,    7,    0
121039,19580703,    6,    0
121039,19580704,    7,    0
121039,19580705,    6,    0
121039,19580706,    8,    0
121039,19580707,    8,    0
121039,19580708,    6,    0
121039,19580709,    0,    0
121039,19580710,    1,    0
121039,19580711,    3,    0
121039,19580712,    5,    0
121039,19580713,    5,    0
121039,19580714,    4,    0
121039,19580715,    7,    0
121039,19580716,    7,    0
121039,19580717,    6,    0
121039,19580718,    1,    0
121039,19580719,    2,    0
121039,19580720,    7,    0
121039,19580721,    7,    0
121039,19580722,    6,    0
121039,19580723,    6,    0
121039,19580724,    6,    0
121039,19580725,    6,    0
121039,19580726,    7,    0
121039,19580727,    6,    0
121039,19580728,    7,    0
121039,19580729,    6,    0
121039,19580730,    7,    0
121039,19580731,    1,    0
121039,19580801,    3,    0
121039,19580802,    5,    0
121039,19580803,    7,    0
121039,19580804,    7,    0
121039,19580805,    5,    0
121039,19580806,    7,    0
121039,19580807,    6,    0
121039,19580808,    7,    0
121039,19580809,    7,    0
121039,19580810,    4,    0
121039,19580811,    6,    0
121039,19580812,    7,    0
121039,19580813,    7,    0
121039,19580814,    8,    0
121039,19580815,    7,    0
121039,19580816,    4,    0
121039,19580817,    4,    0
121039,19580818,    2,    0
121039,19580819,    5,    0
121039,19580820,    6,    0
121039,19580821,    7,    0
121039,19580822,    5,    0
121039,19580823,    7,    0
121039,19580824,    5,    0
121039,19580825,    7,    0
121039,19580826,    7,    0
121039,19580827,    3,    0
121039,19580828,    3,    0
121039,19580829,    5,    0
121039,19580830,    6,    0
121039,19580831,    4,    0
121039,19580901,    1,    0
121039,19580902,    0,    0
121039,19580903,    1,    0
121039,19580904,    2,    0
121039,19580905,    1,    0
121039,19580906,    1,    0
121039,19580907,    6,    0
121039,19580908,    6,    0
121039,19580909,    5,    0
121039,19580910,    5,    0
121039,19580911,    7,    0
121039,19580912,    4,    0
121039,19580913,    1,    0
121039,19580914,    1,    0
121039,19580915,    6,    0
121039,19580916,    7,    0
121039,19580917,    7,    0
121039,19580918,    5,    0
121039,19580919,    5,    0
121039,19580920,    7,    0
121039,19580921,    6,    0
121039,19580922,    5,    0
121039,19580923,    7,    0
121039,19580924,    6,    0
121039,19580925,    7,    0
121039,19580926,    7,    0
121039,19580927,    5,    0
121039,19580928,    3,    0
121039,19580929,    6,    0
121039,19580930,    8,    0
121039,19581001,    7,    0
121039,19581002,    5,    0
121039,19581003,    3,    0
121039,19581004,    5,    0
121039,19581005,    3,    0
121039,19581006,    5,    0
121039,19581007,    4,    0
121039,19581008,    6,    0
121039,19581009,    8,    0
121039,19581010,    8,    0
121039,19581011,    8,    0
121039,19581012,    8,    0
121039,19581013,    6,    0
121039,19581014,    8,    0
121039,19581015,    7,    0
121039,19581016,    6,    0
121039,19581017,    6,    0
121039,19581018,    4,    0
121039,19581019,    7,    0
121039,19581020,    7,    0
121039,19581021,    4,    0
121039,19581022,    8,    0
121039,19581023,    6,    0
121039,19581024,    8,    0
121039,19581025,    8,    0
121039,19581026,    8,    0
121039,19581027,    0,    0
121039,19581028,    5,    0
121039,19581029,    7,    0
121039,19581030,    4,    0
121039,19581031,    8,    0
121039,19581101,    4,    0
121039,19581102,    8,    0
121039,19581103,    8,    0
121039,19581104,    8,    0
121039,19581105,    8,    0
121039,19581106,    3,    0
121039,19581107,    7,    0
121039,19581108,    8,    0
121039,19581109,    7,    0
121039,19581110,    7,    0
121039,19581111,    8,    0
121039,19581112,    8,    0
121039,19581113,    8,    0
121039,19581114,    8,    0
121039,19581115,    8,    0
121039,19581116,    8,    0
121039,19581117,    5,    0
121039,19581118,    5,    0
121039,19581119,    5,    0
121039,19581120,    7,    0
121039,19581121,    7,    0
121039,19581122,    8,    0
121039,19581123,    5,    0
121039,19581124,    8,    0
121039,19581125,    8,    0
121039,19581126,    8,    0
121039,19581127,    8,    0
121039,19581128,    8,    0
121039,19581129,    8,    0
121039,19581130,    8,    0
121039,19581201,    6,    0
121039,19581202,    6,    0
121039,19581203,    8,    0
121039,19581204,    7,    0
121039,19581205,    8,    0
121039,19581206,    3,    0
121039,19581207,    8,    0
121039,19581208,    5,    0
121039,19581209,    8,    0
121039,19581210,    8,    0
121039,19581211,    8,    0
121039,19581212,    8,    0
121039,19581213,    8,    0
121039,19581214,    5,    0
121039,19581215,    7,    0
121039,19581216,    7,    0
121039,19581217,    7,    0
121039,19581218,    5,    0
121039,19581219,    8,    0
121039,19581220,    7,    0
121039,19581221,    5,    0
121039,19581222,    2,    0
121039,19581223,    8,    0
121039,19581224,    8,    0
121039,19581225,    8,    0
121039,19581226,    8,    0
121039,19581227,    8,    0
121039,19581228,    8,    0
121039,19581229,    7,    0
121039,19581230,    6,    0
121039,19581231,    8,    0
121039,19590101,    3,    0
121039,19590102,    8,    0
121039,19590103,    7,    0
121039,19590104,    7,    0
121039,19590105,    7,    0
121039,19590106,    8,    0
121039,19590107,    7,    0
121039,19590108,    7,    0
121039,19590109,    4,    0
121039,19590110,    8,    0
121039,19590111,    6,    0
121039,19590112,    8,    0
121039,19590113,    8,    0
121039,19590114,    7,    0
121039,19590115,    8,    0
121039,19590116,    8,    0
121039,19590117,    5,    0
121039,19590118,    8,    0
121039,19590119,    6,    0
121039,19590120,    7,    0
121039,19590121,    7,    0
121039,19590122,    6,    0
121039,19590123,    6,    0
121039,19590124,    3,    0
121039,19590125,    7,    0
121039,19590126,    8,    0
121039,19590127,    0,    0
121039,19590128,    0,    0
121039,19590129,    0,    0
121039,19590130,    3,    0
121039,19590131,    4,    0
121039,19590201,    6,    0
121039,19590202,    1,    0
121039,19590203,    0,    0
121039,19590204,    0,    0
121039,19590205,    0,    0
121039,19590206,    3,    0
121039,19590207,    5,    0
121039,19590208,    5,    0
121039,19590209,    8,    0
121039,19590210,    4,    0
121039,19590211,    7,    0
121039,19590212,    3,    0
121039,19590213,    5,    0
121039,19590214,    0,    0
121039,19590215,    5,    0
121039,19590216,    6,    0
121039,19590217,    6,    0
121039,19590218,    3,    0
121039,19590219,    8,    0
121039,19590220,    5,    0
121039,19590221,    8,    0
121039,19590222,    7,    0
121039,19590223,    7,    0
121039,19590224,    5,    0
121039,19590225,    5,    0
121039,19590226,    1,    0
121039,19590227,    1,    0
121039,19590228,    0,    0
121039,19590301,    3,    0
121039,19590302,    1,    0
121039,19590303,    7,    0
121039,19590304,    6,    0
121039,19590305,    6,    0
121039,19590306,    5,    0
121039,19590307,    7,    0
121039,19590308,    6,    0
121039,19590309,    2,    0
121039,19590310,    7,    0
121039,19590311,    4,    0
121039,19590312,    8,    0
121039,19590313,    5,    0
121039,19590314,    3,    0
121039,19590315,    5,    0
121039,19590316,    7,    0
121039,19590317,    0,    0
121039,19590318,    8,    0
121039,19590319,    3,    0
121039,19590320,    4,    0
121039,19590321,    5,    0
