EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : sea level pressure in 0.1 hPa
23-27 Q_PP : Quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121041)
See file sources.txt for more info.



 SOUID,    DATE,   PP, Q_PP
121041,19580304,10293,    0
121041,19580305,10215,    0
121041,19580306,10112,    0
121041,19580307,10090,    0
121041,19580308,10029,    0
121041,19580309,10019,    0
121041,19580310,10041,    0
121041,19580311,10050,    0
121041,19580312,10107,    0
121041,19580313,10057,    0
121041,19580314,10118,    0
121041,19580315,10180,    0
121041,19580316,10194,    0
121041,19580317,10164,    0
121041,19580318,10156,    0
121041,19580319,10136,    0
121041,19580320,10171,    0
121041,19580321,10266,    0
121041,19580322,10280,    0
121041,19580323,10255,    0
121041,19580324,10144,    0
121041,19580325,10045,    0
121041,19580326,10017,    0
121041,19580327, 9988,    0
121041,19580328, 9997,    0
121041,19580329,10046,    0
121041,19580330,10093,    0
121041,19580331,10161,    0
121041,19580401,10167,    0
121041,19580402,10176,    0
121041,19580403,10069,    0
121041,19580404,10009,    0
121041,19580405,10045,    0
121041,19580406,10120,    0
121041,19580407,10182,    0
121041,19580408,10194,    0
121041,19580409,10202,    0
121041,19580410,10182,    0
121041,19580411,10232,    0
121041,19580412,10248,    0
121041,19580413,10195,    0
121041,19580414,10116,    0
121041,19580415,10063,    0
121041,19580416,10108,    0
121041,19580417,10190,    0
121041,19580418,10192,    0
121041,19580419,10208,    0
121041,19580420,10244,    0
121041,19580421,10222,    0
121041,19580422,10173,    0
