EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 13-12-2024
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, KOLN-BONN (SOUID: 121049)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
121049,19580202,   51,    0
121049,19580203,  129,    0
121049,19580204,  115,    0
121049,19580205,  208,    0
121049,19580206,  161,    0
121049,19580207,   91,    0
121049,19580208,  143,    0
121049,19580209,  115,    0
121049,19580210,  125,    0
121049,19580211,  122,    0
121049,19580212,  139,    0
121049,19580213,   99,    0
121049,19580214,  131,    0
121049,19580215,   95,    0
121049,19580216,  213,    0
121049,19580217,  203,    0
121049,19580218,  162,    0
121049,19580219,  159,    0
121049,19580220,  169,    0
121049,19580221,  157,    0
121049,19580222,  120,    0
121049,19580223,   96,    0
121049,19580224,  114,    0
121049,19580225,  140,    0
121049,19580226,  181,    0
121049,19580227,   59,    0
121049,19580228,   81,    0
121049,19580301,   97,    0
121049,19580302,  110,    0
121049,19580303,   81,    0
121049,19580304,   40,    0
121049,19580305,   98,    0
121049,19580306,  182,    0
121049,19580307,  150,    0
121049,19580308,  105,    0
121049,19580309,  110,    0
121049,19580310,   73,    0
121049,19580311,   90,    0
121049,19580312,   80,    0
121049,19580313,  136,    0
121049,19580314,  105,    0
121049,19580315,  139,    0
121049,19580316,   94,    0
121049,19580317,  143,    0
121049,19580318,   85,    0
121049,19580319,   72,    0
121049,19580320,  129,    0
121049,19580321,  121,    0
121049,19580322,   89,    0
121049,19580323,  129,    0
121049,19580324,  179,    0
121049,19580325,  150,    0
121049,19580326,  110,    0
121049,19580327,  116,    0
121049,19580328,  128,    0
121049,19580329,   86,    0
121049,19580330,  125,    0
121049,19580331,  132,    0
121049,19580401,  120,    0
121049,19580402,   69,    0
121049,19580403,  169,    0
121049,19580404,   90,    0
121049,19580405,  116,    0
121049,19580406,  108,    0
121049,19580407,  151,    0
121049,19580408,  157,    0
121049,19580409,  209,    0
121049,19580410,  199,    0
121049,19580411,  141,    0
121049,19580412,  170,    0
121049,19580413,  127,    0
121049,19580414,  162,    0
121049,19580415,  155,    0
121049,19580416,  180,    0
121049,19580417,  146,    0
121049,19580418,  103,    0
121049,19580419,   89,    0
121049,19580420,  127,    0
121049,19580421,  130,    0
121049,19580422,  128,    0
121049,19580423,   88,    0
121049,19580424,   80,    0
121049,19580425,  137,    0
121049,19580426,  174,    0
121049,19580427,  266,    0
121049,19580428,  148,    0
121049,19580429,   96,    0
121049,19580430,   61,    0
121049,19580501,   80,    0
121049,19580502,   66,    0
121049,19580503,  132,    0
121049,19580504,   72,    0
121049,19580505,  159,    0
121049,19580506,  188,    0
121049,19580507,  142,    0
121049,19580508,  113,    0
121049,19580509,  125,    0
121049,19580510,   79,    0
121049,19580511,  103,    0
121049,19580512,  114,    0
121049,19580513,   87,    0
121049,19580514,   48,    0
121049,19580515,   72,    0
121049,19580516,  187,    0
121049,19580517,  182,    0
121049,19580518,  135,    0
121049,19580519,   98,    0
121049,19580520,  116,    0
121049,19580521,  110,    0
121049,19580522,   63,    0
121049,19580523,  110,    0
121049,19580524,  129,    0
121049,19580525,  228,    0
121049,19580526,  137,    0
121049,19580527,  100,    0
121049,19580528,  112,    0
121049,19580529,  118,    0
121049,19580530,  130,    0
121049,19580531,   70,    0
121049,19580601,   95,    0
121049,19580602,  164,    0
121049,19580603,   80,    0
121049,19580604,   77,    0
121049,19580605,   84,    0
121049,19580606,   82,    0
121049,19580607,  144,    0
121049,19580608,  130,    0
121049,19580609,  112,    0
121049,19580610,  129,    0
